date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-17 09:00:40,BeatrizManMar,,0,3,16,"#TalDíaComoHoy de 1836 nació en Sevilla el poeta y narrador Gustavo Adolfo Bécquer, perteneciente al movimiento del Romanticismo. Es mayormente conocido por sus ""Rimas y Leyendas"", pero también es el autor de obras como ""Cartas desde mi celda"". #PoetasEspañolespic.twitter.com/kwTRAfCsFO",,,#TalDíaComoHoy #PoetasEspañolespic,1229329807625814016,https://twitter.com/BeatrizManMar/status/1229329807625814016
2020-02-17 08:57:45,Uma70056541,NikSamotracia,1,1,23,"Entrada al Monasterio de Veruela, a las faldas del Moncayo, donde estuvo alojado junto con su hermano Valeriano y desde donde escribió Cartas desde mi celda y algunas Rimas y leyendas... qué habría sido de nuestra juventud sin unos ojos verdes, sin contestar qué es poesía... pic.twitter.com/XZMdfMFzpl",,,,1229329072079167488,https://twitter.com/Uma70056541/status/1229329072079167488
2020-02-17 08:47:38,knktlw,AndyNetherwood,3,10,31,"Fotos de los interiores de los Boeing 747-400 de Kalitta con asientos paletizados. Así mismo, en la tercera foto se aprecia una celda de aislamiento. https://twitter.com/AndyNetherwood/status/1229321470410706945 …",,,,1229326527919280128,https://twitter.com/knktlw/status/1229326527919280128
2020-02-17 08:45:49,expresso5,Unha127,0,2,6,"Para meter a todos los sodomitas juntos en una celda por las noches y que hagan sus ""cositas"" entre ellos , una temporadita , no se... 70 u 80 años por ejemplo mientras de día arreglan carreteras y curran para la comunidad por la cara",,,,1229326070450728960,https://twitter.com/expresso5/status/1229326070450728960
2020-02-17 08:38:58,FeliZeppeli,,1,0,0,"Después de esto decido explorar un poco por mi cuenta y llego hasta las mazmorras del castillo, dónde veo encerrados a Axel, Roxas y Xemnas juntos en la misma celda. Me da pena verlos ahí así que los libero, no sé ni cómo lo hice. pic.twitter.com/F4VW5iIbQu",,,,1229324347690672128,https://twitter.com/FeliZeppeli/status/1229324347690672128
2020-02-17 08:37:48,Brucebatman007,,3,1,18,"Hoy recomendamos ""Celda 211"" dirigida por Daniel Monzón y protagonizada por Luis Tosar, Alberto Ammann, Antonio Resines, Marta Etura y Carlos Bardem. pic.twitter.com/X0e0vM1gV8",,,,1229324050700394498,https://twitter.com/Brucebatman007/status/1229324050700394498
2020-02-17 08:28:13,xc32tk,,0,0,1,"Si en Excel al escribir una fórmula en lugar de calcular lo que sea sólo escribe el texto de la fórmula mira que el formato de la celda sea GENERAL y no TEXTO",,,,1229321642309976064,https://twitter.com/xc32tk/status/1229321642309976064
2020-02-17 08:17:27,CatusInsanus,ForcadellCarme,0,0,0,"Salir, tuitear y a dormir con tus compis de celda, delincuente. https://twitter.com/ForcadellCarme/status/1229314059062956032 …",,,,1229318930495348736,https://twitter.com/CatusInsanus/status/1229318930495348736
2020-02-17 08:03:44,PoesiaUtil,,0,0,1,"Gustavo Adolfo Bécquer. Carta tercera desde su celda. Acerca del cementerio de Trasmoz.",,,,1229315479703052289,https://twitter.com/PoesiaUtil/status/1229315479703052289
2020-02-17 08:01:33,EderARamirez,,0,0,0,"Por que aaron hernandez si termino siendo inocente y un tiempo antes habia hablado con su abogados de todo lo que iba hacer despues de salir de la carcel, se suicida orcandose en su celda? No lo entiendo que pasaba por su cabeza si ya iba a salir ??",,,,1229314931700441101,https://twitter.com/EderARamirez/status/1229314931700441101
2020-02-17 07:48:52,Jocevq,,2,0,1,"Si yo fuese Lidia estaría tan arrepentida de no haberle dado un beso a Carlos en esa celda.",,,,1229311736060272641,https://twitter.com/Jocevq/status/1229311736060272641
2020-02-17 06:55:15,athendoflight,,0,0,0,"El Ganzo Lopez dice que los delincuentes tambien son pueblo y que merecen respeto..ok de acuerdo..son pueblo? Si..merecen respeto? ....tambien en forma de un juicio justo e imparcial y una celda limpia y bien resguardada..donde cumplan su condena..pero ni eso tienenXque el bote>> pic.twitter.com/o215WYWN0P",,,,1229298244766720006,https://twitter.com/athendoflight/status/1229298244766720006
2020-02-17 06:50:05,thehighlandness,,0,0,0,"Ver ""GUAIDO TIENE UNA CELDA LISTA DICE DIOSDADO CABELLO EN EL DGCIM"" en YouTube - https://youtu.be/LMWPVkAh2qQ",,,,1229296946482941952,https://twitter.com/thehighlandness/status/1229296946482941952
